X_TREE	Y_TREE	BAREA	DBH	VOL	SPP
273.92	283.05	0.02	14	0.11	0
281.9	288.3	0.02	15	0.14	3
287.4	292.4	0.02	15	0.14	3
298.56	302.08	0.07	30	0.84	4
294.13	315.18	0.13	41	1.82	3
299.45	311.17	0.37	69	5.97	0
301.72	307.19	0.35	67	5.61	0
303.2	311.49	0.22	53	3.33	0
307.53	311.09	0.17	46	2.4	1
309.49	306.37	0.2	50	2.91	0
306.36	298.78	0.01	12	0.08	7
304.57	297.9	0.01	13	0.09	3
303.42	295.29	0.07	30	0.84	3
299.24	299.93	0.21	52	3.19	4
295.26	291.6	0.32	64	5.08	3
299.22	285.79	0.33	65	5.25	0
297.77	279.84	0.19	49	2.78	0
294.12	277.9	0.11	38	1.51	0
289.96	281.03	0.26	58	4.08	0
290.84	283.95	0.23	54	3.48	0
305.66	315.4	0.14	42	1.93	3
299.97	313.91	0.02	17	0.19	0
294.83	319.27	0.1	36	1.33	2
301.05	322.55	0.32	64	5.08	0
304.27	323.43	0.19	49	2.78	0
302.84	326.57	0.13	40	1.71	0
290.6	327.34	0.09	33	1.07	0
284.62	328.06	0.11	38	1.51	0
281.57	327.27	0.15	43	2.04	0
276.79	331.59	0.08	31	0.91	0
273.27	334.85	0.13	41	1.82	2
275.32	337.44	0.02	16	0.16	0
277.85	342.08	0.2	51	3.05	3
284.59	330.66	0.03	19	0.26	0
296.43	333.15	0.28	60	4.41	3
295.48	336.35	0.1	36	1.33	0
292.89	336.94	0.17	46	2.4	0
288.76	333.68	0.09	34	1.15	0
285.36	337.01	0.38	70	6.15	2
282.05	344.09	0.12	39	1.61	1
280.77	338.99	0.09	33	1.07	0
284.15	345.55	0.04	23	0.43	0
289.29	349.33	0.17	47	2.52	2
291.98	348.24	0.05	24	0.47	0
293.61	345.68	0.37	69	5.97	2
294.79	345.7	0.03	20	0.3	0
300.41	341.4	0.15	44	2.16	0
304.59	342.75	0.17	46	2.4	0
304.64	339.39	0.13	40	1.71	0
307.51	337.36	0.08	32	0.99	3
309.14	334.64	0.03	19	0.26	0
312.32	337.46	0.14	42	1.93	0
316.97	336.65	0.31	63	4.91	0
314.86	333.17	0.17	47	2.52	2
318.6	329.83	0.24	55	3.62	0
322.87	324.99	0.21	52	3.19	0
321.07	320.33	0.38	70	6.15	0
313.63	324.55	0.11	38	1.51	0
315.54	318.1	0.17	46	2.4	2
313.1	318.29	0.02	15	0.14	0
312.97	316.91	0.23	54	3.48	0
317.74	315.48	0.09	34	1.15	1
315.99	312.92	0.19	49	2.78	2
318.16	309.35	0.01	12	0.08	3
324.48	323.23	0.01	12	0.08	1
286.49	352.49	0.17	47	2.52	0
279.99	357.64	0.17	46	2.4	0
278.76	352.85	0.2	51	3.05	0
268.92	352.13	0.28	60	4.41	0
271.07	361.55	0.11	37	1.42	0
269.39	364.55	0.14	42	1.93	1
264.42	364.86	0.23	54	3.48	4
260.49	369.68	0.34	66	5.43	4
257.17	366.84	0.05	26	0.58	0
258.53	362.56	0.34	66	5.43	4
258.05	359.29	0.05	26	0.58	1
253.65	359.98	0.26	57	3.93	4
252.91	368.97	0.34	66	5.43	4
250.01	366.66	0.21	52	3.19	4
250.56	362.7	0.2	51	3.05	4
245.91	358.7	0.15	43	2.04	0
245.7	362.66	0.26	57	3.93	5
239.42	366.1	0.28	60	4.41	0
241.27	371.78	0.04	23	0.43	0
245.47	372.78	0.19	49	2.78	0
238.54	382.59	0.15	43	2.04	0
235.54	383.14	0.1	35	1.24	1
232.54	380.91	0.26	58	4.08	2
228.33	379.64	0.09	34	1.15	0
232.64	376.92	0.08	31	0.91	1
233.83	371.84	0.13	40	1.71	0
236.29	365.75	0.05	26	0.58	0
217.48	335.48	0.01	13	0.09	1
216.59	333.41	0.01	13	0.09	1
214.72	331.9	0.01	12	0.08	2
221.06	331.41	0.01	12	0.08	3
221.48	326.8	0.01	12	0.08	5
217.81	323.16	0.04	23	0.43	4
216.9	322.6	0.02	14	0.11	4
217.23	319.93	0.02	17	0.19	4
221.78	317.67	0.03	18	0.22	4
223.31	317.59	0.02	15	0.14	4
219.38	317.1	0.02	17	0.19	4
217.75	315	0.02	17	0.19	4
216.26	312.76	0.01	13	0.09	4
214.37	311.17	0.02	15	0.14	4
211.67	309.48	0.01	13	0.09	4
210.93	306.49	0.02	14	0.11	0
207.73	306.85	0.02	17	0.19	0
206.89	309.33	0.01	12	0.08	0
208.35	317.22	0.01	13	0.09	1
209.45	312.04	0.02	15	0.14	4
211.18	312.02	0.03	19	0.26	4
214.03	313.55	0.01	12	0.08	4
215.05	313.26	0.03	20	0.3	4
216	317.47	0.03	18	0.22	4
212.46	320.37	0.02	15	0.14	4
212.79	322.53	0.02	14	0.11	4
214.1	325.87	0.03	20	0.3	4
213.67	334.02	0.01	12	0.08	3
209.95	334.43	0.01	13	0.09	1
209.11	332.51	0.01	13	0.09	1
207.01	328.23	0.02	15	0.14	2
206.44	323.39	0.01	13	0.09	1
203.41	323.39	0.01	12	0.08	2
202.39	316.47	0.01	12	0.08	1
200.99	318.98	0.02	14	0.11	1
197.72	321.46	0.01	12	0.08	1
195.01	322.77	0.01	12	0.08	1
193.48	323.6	0.01	12	0.08	1
191.86	323.79	0.01	12	0.08	1
190.71	325.58	0.02	15	0.14	1
191.39	332.31	0.02	15	0.14	1
192.72	330.61	0.01	12	0.08	1
190.38	336.08	0.01	13	0.09	1
190.27	337.74	0.02	14	0.11	1
193.38	334.87	0.01	12	0.08	1
195.64	333.1	0.01	12	0.08	3
200.43	329.81	0.01	12	0.08	2
239.28	293.39	0.05	24	0.47	4
239.56	288.27	0.05	24	0.47	4
241.04	290.27	0.15	43	2.04	4
241.53	291.11	0.02	14	0.11	4
241.17	293.3	0.04	23	0.43	4
240.3	295.38	0.06	27	0.64	4
244.61	296.19	0.03	19	0.26	4
