PLOT_ID2	XCOORD	YCOORD	BC_91BAREA	BC_02BAREA	BE_91BAREA	BE_02BAREA	BF_91BAREA	BF_02BAREA	EH_91BAREA	EH_02BAREA	LA_91BAREA	LA_02BAREA	PB_91BAREA	PB_02BAREA	PC_91BAREA	PC_02BAREA	RM_91BAREA	RM_02BAREA	RO_91BAREA	RO_02BAREA	RP_91BAREA	RP_02BAREA	RS_91BAREA	RS_02BAREA	SM_91BAREA	SM_02BAREA	WA_91BAREA	WA_02BAREA	WP_91BAREA	WP_02BAREA	YB_91BAREA	YB_02BAREA	BAREA91_TOT	BAREA02_TOT	BOLE91_KGH	BOLE02_KGH	BRANCH91_KGH	BRANCH02_KGH	FOLIAGE91_KGH	FOLIAGE02_KGH	WOOD91_KGH	WOOD02_KGH	ALLBIO91_KGH	ALLBIO02_KGH	BC_91BOLE	BC_02BOLE	BC_91BRANC	BC_02BRANC	BC_91FOLIA	BC_02FOLIA	BC_91WOOD	BC_02WOOD	BC_91ALLBI	BC_02ALLBI	BE_91BOLE	BE_02BOLE	BE_91BRANC	BE_02BRANC	BE_91FOLIA	BE_02FOLIA	BE_91WOOD	BE_02WOOD	BE_91ALLBI	BE_02ALLBI	BF_91BOLE	BF_02BOLE	BF_91BRANC	BF_02BRANC	BF_91FOLIA	BF_02FOLIA	BF_91WOOD	BF_02WOOD	BF_91ALLBI	BF_02ALLBI	EH_91BOLE	EH_02BOLE	EH_91BRANC	EH_02BRANC	EH_91FOLIA	EH_02FOLIA	EH_91WOOD	EH_02WOOD	EH_91ALLBI	EH_02ALLBI	LA_91BOLE	LA_02BOLE	LA_91BRANC	LA_02BRANC	LA_91FOLIA	LA_02FOLIA	LA_91WOOD	LA_02WOOD	LA_91ALLBI	LA_02ALLBI	PB_91BOLE	PB_02BOLE	PB_91BRANC	PB_02BRANC	PB_91FOLIA	PB_02FOLIA	PB_91WOOD	PB_02WOOD	PB_91ALLBI	PB_02ALLBI	PC_91BOLE	PC_02BOLE	PC_91BRANC	PC_02BRANC	PC_91FOLIA	PC_02FOLIA	PC_91WOOD	PC_02WOOD	PC_91ALLBI	PC_02ALLBI	RM_91BOLE	RM_02BOLE	RM_91BRANC	RM_02BRANC	RM_91FOLIA	RM_02FOLIA	RM_91WOOD	RM_02WOOD	RM_91ALLBI	RM_02ALLBI	RO_91BOLE	RO_02BOLE	RO_91BRANC	RO_02BRANC	RO_91FOLIA	RO_02FOLIA	RO_91WOOD	RO_02WOOD	RO_91ALLBI	RO_02ALLBI	RP_91BOLE	RP_02BOLE	RP_91BRANC	RP_02BRANC	RP_91FOLIA	RP_02FOLIA	RP_91WOOD	RP_02WOOD	RP_91ALLBI	RP_02ALLBI	RS_91BOLE	RS_02BOLE	RS_91BRANC	RS_02BRANC	RS_91FOLIA	RS_02FOLIA	RS_91WOOD	RS_02WOOD	RS_91ALLBI	RS_02ALLBI	SM_91BOLE	SM_02BOLE	SM_91BRANC	SM_02BRANC	SM_91FOLIA	SM_02FOLIA	SM_91WOOD	SM_02WOOD	SM_91ALLBI	SM_02ALLBI	WA_91BOLE	WA_02BOLE	WA_91BRANC	WA_02BRANC	WA_91FOLIA	WA_02FOLIA	WA_91WOOD	WA_02WOOD	WA_91ALLBI	WA_02ALLBI	WP_91BOLE	WP_02BOLE	WP_91BRANC	WP_02BRANC	WP_91FOLIA	WP_02FOLIA	WP_91WOOD	WP_02WOOD	WP_91ALLBI	WP_02ALLBI	YB_91BOLE	YB_02BOLE	YB_91BRANC	YB_02BRANC	YB_91FOLIA	YB_02FOLIA	YB_91WOOD	YB_02WOOD	YB_91ALLBI	YB_02ALLBI	XUTM	YUTM	ELEV	SLOPE	SPR_02_TC1	SPR_02_TC2	SPR_02_TC3	SUM_02_TC1	SUM_02_TC2	SUM_02_TC3	FALL_02_TC1	FALL_02_TC2	FALL_02_TC3
10AB	1076784.125	571691.125	0	0	0	0	0	0	0.14	0.19	0	0	0.56	0.33	0	0	0	0	0	0	0	0	0.14	0.15	0.03	0.02	0	0	0	0	0.08	0.27	31.25	36.31	132565.57	165753.65	27465.26	34660.61	6718.1	7822.5	160030.83	200414.26	166748.93	208236.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.09	0.12	0.15	0.23	0.3	0.08	0.1	0.09	0.11	0	0	0	0	0	0	0	0	0	0	0.68	0.37	0.58	0.31	0.54	0.31	0.66	0.36	0.66	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.08	0.1	0.11	0.09	0.1	0.08	0.09	0.08	0.09	0.03	0.02	0.02	0.01	0.03	0.02	0.03	0.02	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.41	0.1	0.36	0.07	0.23	0.1	0.4	0.1	0.39	1948687.63	2596421.25	422	26	64	127	107	71	135	116	63	119	121
10AD	1076801.25	572330.125	0	0	0.44	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.31	0.02	0.02	0	0	0.18	0.18	22.98	25.05	142885.59	155519.47	33822.75	37780.16	5866.57	6045.46	176708.34	193299.64	182574.92	199345.1	0	0	0	0	0	0	0	0	0	0	0.4	0.43	0.62	0.64	0.31	0.35	0.44	0.47	0.44	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.31	0.2	0.17	0.55	0.5	0.32	0.28	0.33	0.29	0.02	0.03	0.01	0.02	0.01	0.01	0.02	0.03	0.02	0.03	0	0	0	0	0	0	0	0	0	0	0.22	0.22	0.17	0.16	0.13	0.13	0.21	0.21	0.21	0.21	1948643.25	2596611.75	399	23	78	135	96	93	165	110	79	131	106
10D	1076988.625	563596.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949373.38	2594041.5	536	7	85	100	67	95	133	89	89	127	103
10F	1076975	564284	0	0	0.48	0.41	0	0	0	0	0	0	0.04	0.01	0.01	0.01	0.07	0	0	0	0	0	0	0	0.34	0.51	0	0.01	0	0	0.01	0.04	27.46	18.3	153372.75	106401.06	40230.21	24515.17	6685.74	5236.75	193602.96	130916.22	200288.7	136152.97	0	0	0	0	0	0	0	0	0	0	0.5	0.4	0.7	0.64	0.36	0.26	0.54	0.45	0.54	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.01	0.02	0	0.04	0.01	0.03	0.01	0.03	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.08	0	0.06	0	0.04	0	0.07	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0.54	0.18	0.31	0.51	0.69	0.32	0.49	0.33	0.5	0	0.01	0	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.04	0	0.03	0.01	0.03	0.01	0.04	0.01	0.04	1949316.25	2594244	565	15	82	108	68	106	166	93	100	132	77
10H	1076984.25	564958.8125	0	0	0.43	0.3	0	0	0.19	0.21	0	0	0.05	0.04	0	0	0	0.13	0	0	0	0	0.21	0.2	0.11	0.1	0	0	0	0	0.01	0.01	40.11	48.26	177410.31	207535.61	53594.82	56547.84	10047.26	11816.87	231005.13	264083.45	241052.39	275900.32	0	0	0	0	0	0	0	0	0	0	0.57	0.38	0.69	0.52	0.31	0.23	0.6	0.41	0.59	0.4	0	0	0	0	0	0	0	0	0	0	0.09	0.11	0.11	0.14	0.31	0.33	0.1	0.12	0.11	0.13	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.03	0.03	0.04	0.03	0.05	0.05	0.05	0.04	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0.12	0	0.08	0	0.16	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.11	0.08	0.09	0.13	0.13	0.1	0.1	0.1	0.11	0.16	0.16	0.07	0.08	0.19	0.19	0.14	0.15	0.14	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1949266.88	2594444.25	599	14	89	106	67	110	173	99	67	118	105
10J	1076962.875	565575.25	0	0	0.48	0.49	0	0	0.14	0.16	0	0	0	0	0	0	0.12	0.16	0	0	0	0	0.1	0.08	0.07	0.02	0	0	0	0	0.07	0.06	33.22	39.82	159211.64	194890.42	48352.05	60285.42	7182.8	8255.97	207563.69	255175.84	214746.49	263431.81	0	0	0	0	0	0	0	0	0	0	0.57	0.58	0.69	0.69	0.4	0.43	0.59	0.61	0.59	0.6	0	0	0	0	0	0	0	0	0	0	0.06	0.07	0.08	0.08	0.25	0.28	0.07	0.07	0.07	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.18	0.09	0.11	0.09	0.12	0.13	0.16	0.13	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.04	0.04	0.03	0.08	0.06	0.05	0.04	0.05	0.04	0.07	0.03	0.03	0.01	0.1	0.04	0.06	0.03	0.07	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.08	0.06	0.05	0.06	0.05	0.09	0.08	0.08	0.08	1949212.88	2594625	610	10	60	110	102	92	150	98	69	111	95
10L	1076944.875	566232.75	0	0	0.47	0.61	0	0	0.01	0.03	0	0	0.04	0	0	0	0.06	0	0	0	0	0	0	0.01	0.03	0.01	0	0	0	0	0.28	0.31	31.94	26.84	172038.72	157555.29	49617.49	47215.59	5978.86	5091.15	221656.21	204770.88	227635.07	209862.03	0	0	0	0	0	0	0	0	0	0	0.47	0.59	0.61	0.72	0.47	0.58	0.5	0.62	0.5	0.62	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.03	0.07	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0	0.02	0	0.04	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.04	0	0.05	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.03	0.01	0.01	0	0.05	0.01	0.03	0.01	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.37	0.23	0.23	0.27	0.3	0.32	0.34	0.32	0.34	1949156.75	2594818.25	565	16	67	103	86	89	153	105	65	114	105
10N	1076910.375	566899.625	0	0	0.32	0.32	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.64	0	0	0	0	0.01	0.01	36.13	42.09	213384.21	254045.81	42013.17	50576.81	12488.11	14597.19	255397.38	304622.62	267885.49	319219.81	0	0	0	0	0	0	0	0	0	0	0.26	0.27	0.49	0.51	0.18	0.18	0.3	0.31	0.29	0.31	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0.71	0.48	0.46	0.79	0.8	0.68	0.66	0.68	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1949095.13	2595013	569	15	85	113	77	108	173	103	92	129	86
10P	1077005.5	567624.8125	0	0	0.74	0.73	0	0	0.01	0.01	0	0	0.08	0.07	0	0	0	0.03	0	0	0	0	0	0	0.07	0.07	0	0	0	0	0.09	0.07	26.74	31.68	147973.37	176492.49	47379.33	56392.89	5367.36	6343.9	195352.7	232885.38	200720.06	239229.27	0	0	0	0	0	0	0	0	0	0	0.75	0.74	0.86	0.85	0.68	0.67	0.77	0.77	0.77	0.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.06	0.04	0.04	0.08	0.07	0.07	0.06	0.07	0.06	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.08	0.03	0.03	0.13	0.13	0.06	0.07	0.07	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.08	0.06	0.05	0.08	0.07	0.09	0.07	0.09	0.07	1949067	2595235	577	23	85	108	73	110	175	99	82	118	92
10R	1076911.25	568214.25	0	0	0.29	0.49	0	0	0	0	0	0	0	0	0	0	0.05	0.01	0	0	0	0	0	0	0.42	0.29	0	0	0	0	0.23	0.21	45.45	34.66	310954.14	220013.23	61718.37	52807.33	13633.11	8888.11	372672.51	272820.56	386305.62	281708.67	0	0	0	0	0	0	0	0	0	0	0.23	0.4	0.42	0.62	0.18	0.36	0.26	0.45	0.26	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.01	0.03	0	0.02	0.01	0.03	0.01	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0.3	0.28	0.16	0.64	0.48	0.4	0.27	0.41	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.29	0.26	0.2	0.14	0.15	0.3	0.27	0.3	0.27	1948993.75	2595402.25	606	32	79	99	66	100	163	102	42	116	134
