Tree_ID;Species;DBH_cm;Live_dead;Stump;North_m;East_m;ELEV_m;Tree_height_m;Crown_depth_m;Mean_crown_radius_m_from_center;Crown_radius_north_m_from_center;Crown_radius_east_m_from_center;Crown_radius_west_m_from_center;Crown_radius_south_m_from_center
5;SF;63.3;D;;79.03;221.85;1112.15;NA;NA;NA;NA;NA;NA;NA
18;SF;38;D;;100.7;225.05;1113.03;NA;NA;NA;NA;NA;NA;NA
20;SF;16.4;D;;95.41;223.93;1112.76;NA;NA;NA;NA;NA;NA;NA
26;WH;12.6;D;;108.01;231.9;1113.46;NA;NA;NA;NA;NA;NA;NA
30;SF;21.5;D;;98.43;233.42;1112.8;NA;NA;NA;NA;NA;NA;NA
39;SF;42.4;D;Stump;88.15;239.38;1113.2;NA;NA;NA;NA;NA;NA;NA
97;SF;10.3;D;;166.13;205.84;1112;NA;NA;NA;NA;NA;NA;NA
138;SF;46;D;;171.61;225.96;1112.35;NA;NA;NA;NA;NA;NA;NA
534;DF;96.9;D;;134.23;109.87;1110.11;NA;NA;NA;NA;NA;NA;NA
539;SF;27.7;D;;137.3;114.8;1109.98;NA;NA;NA;NA;NA;NA;NA
774;UNK;45.6;D;;91.68;51.69;1106.7;NA;NA;NA;NA;NA;NA;NA
775;SF;13.7;D;;91.26;52.59;1106.7;NA;NA;NA;NA;NA;NA;NA
806;SF;42.8;D;Stump;92.23;46.55;1106.7;NA;NA;NA;NA;NA;NA;NA
818;SF;12;D;;94.42;35.54;1106.7;NA;NA;NA;NA;NA;NA;NA
841;SF;11.1;D;;102.9;19.24;1105.64;NA;NA;NA;NA;NA;NA;NA
867;DF;38;D;Stump;91.96;31.3;1106.7;NA;NA;NA;NA;NA;NA;NA
877;SF;43.2;D;;79.66;39.5;1106.7;NA;NA;NA;NA;NA;NA;NA
940;WH;17.1;D;;69.58;58.88;1107.03;NA;NA;NA;NA;NA;NA;NA
946;SF;52.2;D;;74.16;49.85;1107.03;NA;NA;NA;NA;NA;NA;NA
949;SF;51.7;D;;68.65;54.49;1107.03;NA;NA;NA;NA;NA;NA;NA
961;SF;57.6;D;;51.4;48.78;1107.69;NA;NA;NA;NA;NA;NA;NA
970;SF;35.8;D;Stump;70.55;42.43;1107.03;NA;NA;NA;NA;NA;NA;NA
986;GF;51.8;D;;46.95;44.11;1107.85;NA;NA;NA;NA;NA;NA;NA
1041;WH;46.1;D;;134.79;325.9;1114.71;NA;NA;NA;NA;NA;NA;NA
1046;SF;61.2;D;;119.68;324.85;1116.35;NA;NA;NA;NA;NA;NA;NA
1051;SF;55;D;Stump;114.49;336.38;1117.27;NA;NA;NA;NA;NA;NA;NA
1052;SF;22;D;;117.4;324.29;1116.39;NA;NA;NA;NA;NA;NA;NA
1053;SF;44.5;D;;117.3;322.52;1116.41;NA;NA;NA;NA;NA;NA;NA
1062;DF;106;D;;130.74;304.31;1115.25;NA;NA;NA;NA;NA;NA;NA
1069;SF;35;D;;107.57;309.05;1115.81;NA;NA;NA;NA;NA;NA;NA
1071;WH;70;D;Stump;104.7;311.33;1116.15;NA;NA;NA;NA;NA;NA;NA
1097;SF;11.7;D;;98.95;290.58;1115.85;NA;NA;NA;NA;NA;NA;NA
1115;SF;18.7;D;;120.65;288.5;1114.98;NA;NA;NA;NA;NA;NA;NA
1116;SF;10.7;D;;121.34;288.82;1114.88;NA;NA;NA;NA;NA;NA;NA
1140;SF;31;D;Stump;119.12;269.13;1114.68;NA;NA;NA;NA;NA;NA;NA
1141;SF;40;D;Stump;118.48;266.94;1114;NA;NA;NA;NA;NA;NA;NA
1158;SF;19;D;;93.33;266.13;1114.92;NA;NA;NA;NA;NA;NA;NA
1160;SF;55.8;D;;97.18;265.78;1114.95;NA;NA;NA;NA;NA;NA;NA
1162;SF;42.8;D;;102.63;263.54;1115;NA;NA;NA;NA;NA;NA;NA
1167;SF;14.8;D;;110.6;259.83;1114.28;NA;NA;NA;NA;NA;NA;NA
1168;SF;10.2;D;;114.74;262.96;1114.44;NA;NA;NA;NA;NA;NA;NA
1174;SF;62;D;;112.83;246.48;1113.91;NA;NA;NA;NA;NA;NA;NA
1190;SF;14.8;D;;92.69;259.66;1114.02;NA;NA;NA;NA;NA;NA;NA
1202;SF;50;D;;78.5;214.27;1111.86;NA;NA;NA;NA;NA;NA;NA
1203;SF;26.3;D;;77.34;211.19;1111.84;NA;NA;NA;NA;NA;NA;NA
1211;DF;51.5;D;;99.28;208.73;1112.92;NA;NA;NA;NA;NA;NA;NA
1240;DF;100.2;D;Stump;90.98;184.57;1111.44;NA;NA;NA;NA;NA;NA;NA
1253;UNK;56.3;D;Stump;87.7;164.73;1110.48;NA;NA;NA;NA;NA;NA;NA
1259;UNK;43.4;D;Stump;88.41;168.1;1110.66;NA;NA;NA;NA;NA;NA;NA
1262;WH;65.4;D;;74;162.88;1109.86;NA;NA;NA;NA;NA;NA;NA
1265;UNK;58;D;Stump;72.11;172.24;1110.19;NA;NA;NA;NA;NA;NA;NA
1266;SF;53;D;Stump;71.65;180.92;1110.38;NA;NA;NA;NA;NA;NA;NA
1267;DF;151.8;D;;67.19;166.02;1110.23;NA;NA;NA;NA;NA;NA;NA
1268;SF;40.5;D;Stump;80.65;162.07;1109.81;NA;NA;NA;NA;NA;NA;NA
1275;DF;78.9;D;;67.95;150.59;1109.07;NA;NA;NA;NA;NA;NA;NA
1277;WH;15.4;D;;68.72;154.47;1109.21;NA;NA;NA;NA;NA;NA;NA
1278;WH;16.7;D;;70.85;155.36;1109.22;NA;NA;NA;NA;NA;NA;NA
1287;SF;12.7;D;;71.79;141.63;1108.76;NA;NA;NA;NA;NA;NA;NA
1290;DF;103.3;D;;67.31;146.48;1109.06;NA;NA;NA;NA;NA;NA;NA
1303;SF;12.9;D;;66.95;138.63;1109;NA;NA;NA;NA;NA;NA;NA
1307;UNK;40;D;Stump;74.82;131.73;1109.05;NA;NA;NA;NA;NA;NA;NA
1313;SF;20;D;;68.24;134.22;1108.99;NA;NA;NA;NA;NA;NA;NA
1316;SF;50;D;Stump;55.47;118.84;1108.23;NA;NA;NA;NA;NA;NA;NA
1320;DF;25;D;;62.67;126.7;1108.5;NA;NA;NA;NA;NA;NA;NA
1324;SF;21.3;D;;63.06;116.03;1108.67;NA;NA;NA;NA;NA;NA;NA
1341;UNK;17.6;D;;53.92;113.2;1108.38;NA;NA;NA;NA;NA;NA;NA
1347;UNK;30.3;D;Stump;55.38;97.48;1108.03;NA;NA;NA;NA;NA;NA;NA
1372;DF;120;D;Stump;35.52;89.66;1107.47;NA;NA;NA;NA;NA;NA;NA
1382;SF;34.4;D;;53.22;94.18;1107.94;NA;NA;NA;NA;NA;NA;NA
1383;SF;62;D;Stump;48.33;86.51;1107.66;NA;NA;NA;NA;NA;NA;NA
1401;DF;30.9;D;;38.43;80.57;1106.66;NA;NA;NA;NA;NA;NA;NA
1406;SF;45.2;D;;29.97;77.73;1106.41;NA;NA;NA;NA;NA;NA;NA
1420;UNK;60;D;Stump;30.31;70.17;1105.5;NA;NA;NA;NA;NA;NA;NA
1421;UNK;34;D;Stump;36.94;71.1;1106.37;NA;NA;NA;NA;NA;NA;NA
1422;UNK;15.2;D;;37.13;70.21;1106.44;NA;NA;NA;NA;NA;NA;NA
1426;WH;52;D;;38.91;64.76;1105.73;NA;NA;NA;NA;NA;NA;NA
1434;SF;50;D;Stump;50.13;63.17;1106.56;NA;NA;NA;NA;NA;NA;NA
1440;SF;53.9;D;;52.02;55.88;1106.13;NA;NA;NA;NA;NA;NA;NA
1446;DF;100;D;Stump;31.76;55.93;1104.95;NA;NA;NA;NA;NA;NA;NA
1449;SF;50;D;Stump;24.28;60.75;1104.19;NA;NA;NA;NA;NA;NA;NA
1451;SF;46.3;D;;25.25;57.73;1103.99;NA;NA;NA;NA;NA;NA;NA
1455;DF;120;D;Stump;34.14;52.24;1104.7;NA;NA;NA;NA;NA;NA;NA
1459;SF;37.8;D;;50.21;43.13;1104.55;NA;NA;NA;NA;NA;NA;NA
1507;WH;115.6;D;;199.62;285.89;1108;NA;NA;NA;NA;NA;NA;NA
1512;WH;13.6;D;;208.57;297.94;1107.77;NA;NA;NA;NA;NA;NA;NA
1516;SF;43;D;;216.34;306.32;1107.69;NA;NA;NA;NA;NA;NA;NA
1527;DF;78.3;D;;191.69;278.39;1111.3;NA;NA;NA;NA;NA;NA;NA
1528;DF;99.3;D;;192.06;276.18;1110.84;NA;NA;NA;NA;NA;NA;NA
1529;DF;40;D;;196.28;278.04;1110.34;NA;NA;NA;NA;NA;NA;NA
1530;DF;100;D;Stump;194.41;270.91;1110.6;NA;NA;NA;NA;NA;NA;NA
1542;WH;38;D;;190.17;248.89;1109.66;NA;NA;NA;NA;NA;NA;NA
1545;DF;89;D;;188.31;248.83;1109.92;NA;NA;NA;NA;NA;NA;NA
1550;DF;105;D;Stump;188.19;233.51;1110.72;NA;NA;NA;NA;NA;NA;NA
1561;SF;53.3;D;;169.19;214.42;1112.46;NA;NA;NA;NA;NA;NA;NA
1566;SF;17.9;D;;174.77;213.47;1111.91;NA;NA;NA;NA;NA;NA;NA
1581;UNK;25.5;D;;176;193.09;1109.8;NA;NA;NA;NA;NA;NA;NA
1589;SF;31.5;D;;167.45;189.49;1110.39;NA;NA;NA;NA;NA;NA;NA
1590;SF;33.2;D;;168.22;188.13;1110.04;NA;NA;NA;NA;NA;NA;NA
1592;SF;45;D;;166;184.7;1109.43;NA;NA;NA;NA;NA;NA;NA
1603;SF;18;D;;166.42;170.71;1106.74;NA;NA;NA;NA;NA;NA;NA
1605;DF;100;D;Stump;171.08;165.71;1106.05;NA;NA;NA;NA;NA;NA;NA
1607;SF;30.1;D;;167.31;160.03;1104.65;NA;NA;NA;NA;NA;NA;NA
1625;SF;40;D;;160.52;145.3;1105.54;NA;NA;NA;NA;NA;NA;NA
1627;SF;42.5;D;;153.83;139.62;1106.67;NA;NA;NA;NA;NA;NA;NA
1633;SF;23;D;;146.79;141.57;1108.7;NA;NA;NA;NA;NA;NA;NA
1635;SF;11;D;;145.45;134.62;1108.86;NA;NA;NA;NA;NA;NA;NA
1644;SF;10.1;D;;152.98;132.15;1107.09;NA;NA;NA;NA;NA;NA;NA
1671;SF;45;D;Stump;116.11;260.25;1114.5;NA;NA;NA;NA;NA;NA;NA
1673;SF;35;D;;119.65;287.36;1114.93;NA;NA;NA;NA;NA;NA;NA
1674;SF;60;D;Stump;82.68;211.78;1112.04;NA;NA;NA;NA;NA;NA;NA
1675;SF;45;D;Stump;76.44;184.79;1111.32;NA;NA;NA;NA;NA;NA;NA
1700;DF;67;D;Stump;136.31;338.45;1113.69;NA;NA;NA;NA;NA;NA;NA
1701;WH;35;D;Stump;131;336.89;1116.27;NA;NA;NA;NA;NA;NA;NA
1702;UNK;63;D;Stump;128.47;333.25;1116.46;NA;NA;NA;NA;NA;NA;NA
1703;DF;85;D;;122.44;332.72;1117.39;NA;NA;NA;NA;NA;NA;NA
